(4d3d,544f) , (4d3d,544f) , #2797#32dc#4df8#16b7#4df8#4df5#45f7#32dc#32dc#1079#3896#
(2513,2f6b) , (15e9,2d47) , #1a53#22f8#2d4e#1e9d#14b6#284b#22d5#1730#111f#257a#28b#
(d29,1a65) , (17b3,5b99) , #ecd#d2#253#52c#502#8a4#93d#52c#56#56#b43#
(19b7,213b) , (6a1,3dd9) , #1992#f5f#3e9#250#1ddf#16e4#da6#da6#11fa#4e#
(1e59,3ccb) , (6ed,877) , #1bf0#3764#ec4#174b#3c38#1f92#37f2#37f2#bc9#
(647,6d7) , (6a1,3dd9) , #30#37f#227#426#7c#385#679#679#96#55c#
(1c27,1e43) , (15e9,2d47) , #12ab#127d#c0f#778#170a#13ea#993#1a64#1b2d#1903#c98#
(df,1b5) , (6ed,877) , #17f#15b#d5#1a0#63#bd#11a#11a#118#
(39b,4f9) , (15e9,2d47) , #81#1a#418#2e3#487#238#14b#42e#189#1b9#db#
(686b,7915) , (fb5,2645) , #5d5d#3dc0#f0f#1b3#617e#4cc7#5216#5a96#1b3#581b#
(d93,1277) , (17b3,5b99) , #10b6#8ee#b42#131#835#64e#cf1#131#657#657#408#
(23d5,2621) , (15e9,2d47) , #396#253#b2f#280#1597#20ed#200f#f60#16b7#b0d#125a#
(527,8e7) , (6ed,877) , #340#4c4#4af#475#3de#4a#22#22#846#
(4003,db59) , (6a1,3dd9) , #3630#1b43#9baf#358#726b#8569#d744#d744#3722#92d7#
(1209,1c03) , (fb5,2645) , #fea#71b#2de#3ef#158a#1708#1ad9#1628#3ef#822#
(298f,360d) , (15e9,2d47) , #103c#1d5f#c85#1355#d91#3323#5a3#e98#28db#7c1#2a3#
(34db,4495) , (6a1,3dd9) , #a73#32ae#3265#2440#3f66#a68#1474#1474#31cc#3b76#
(16b1,1c91) , (fb5,2645) , #da7#1620#530#d4c#b74#62#b31#1c3b#d4c#c95#
(24d1,71f9) , (15e9,2d47) , #3bc3#5130#2214#4b68#3c5d#486b#583c#58dc#148a#5245#18a1#
(4a3,2c3f) , (15e9,2d47) , #bd3#225#1795#85f#62e#171a#2a71#c33#2618#137f#c38#
(2f3b,5101) , (fb5,2645) , #4a08#e94#277e#3f8e#22fd#443a#a75#43bf#3f8e#3c34#
(558b,8cb3) , (6ed,877) , #6a64#946#20f2#1f50#2a8e#2a42#1a98#1a98#d30#
(3b77,aca5) , (6a1,3dd9) , #71ea#3c6f#473d#7267#5b68#ab5c#231#231#6f21#abdf#
(dc9,11f9) , (6ed,877) , #507#5c1#e6#1003#10a2#1058#2bc#2bc#ced#
(1d0d,39d3) , (6ed,877) , #19e8#2eeb#628#3582#3936#1b29#1bd2#1bd2#ff1#
(49,973) , (6ed,877) , #333#98#2ca#144#857#e3#69f#69f#691#
(955,a15) , (17b3,5b99) , #274#211#358#23a#145#6d4#4ef#23a#80a#80a#817#
(607,12f5) , (6ed,877) , #ee2#a85#67e#e8#1d3#df2#11a#11a#4de#
(6221,cb0f) , (15e9,2d47) , #118a#c614#c5ed#3a10#1b0#8e66#adb2#9635#27ed#4e72#7e83#
(7c9f,db59) , (6a1,3dd9) , #7867#243d#2800#10bd#d35e#8410#510e#510e#87f7#24f4#
(26d,835) , (6ed,877) , #411#18b#42d#4f2#2e1#437#18c#18c#2de#
(5ef,f8b) , (17b3,5b99) , #f57#916#4e#77b#8bc#3f2#526#77b#1ee#1ee#da3#
(4df,2249) , (6a1,3dd9) , #763#1faf#6b1#151f#21f1#d60#1632#1632#2ec#a2b#
(331,1e43) , (6ed,877) , #12fb#1d92#9b0#d0c#1d69#e25#1036#1036#d12#
(126d,1d93) , (6a1,3dd9) , #8b1#b04#f09#12a8#b4e#1c33#1c73#1c73#18b6#1ab9#
(30eb,4567) , (15e9,2d47) , #34ff#13ab#26b9#2b76#d88#423a#1ef7#41e6#118d#39ff#3657#
(a31,12ef) , (fb5,2645) , #c3d#88b#186#3ee#691#114#fce#85d#3ee#cd4#
(11b,1b5) , (17b3,5b99) , #cc#a3#77#145#56#14c#33#145#4c#4c#1a4#
(949,2d8b) , (15e9,2d47) , #2771#4b6#afc#df4#517#de#15c0#1d98#afb#2afa#881#
(671,8c9) , (6ed,877) , #3f7#457#3e0#495#241#31#4dc#4dc#37a#
(1cf9,3937) , (6ed,877) , #c88#1020#2c59#1535#39e#31c0#1566#1566#102e#
(46d,4d75) , (fb5,2645) , #371a#b53#4933#a05#18ca#2c9d#11e1#3a42#a05#4708#
(7cd,afd) , (6a1,3dd9) , #a45#c6#8b7#5e#2c0#145#3fb#3fb#a31#aec#
(8d5,3a19) , (fb5,2645) , #21f2#140a#ce5#38d0#253c#101c#1cdf#9e8#38d0#aff#
(6ed,877) , (6ed,877) , #431#20f#4b6#77b#5c2#421#370#370#84d#
(1dbd,3389) , (17b3,5b99) , #7e1#201d#5a5#1c66#21b6#bc5#f12#1c66#1780#1780#2653#
(c73,1907) , (17b3,5b99) , #f44#73f#d66#1678#ab5#765#2c8#1678#296#296#7ca#
(247d,3677) , (17b3,5b99) , #1816#287b#693#190#4ef#34b6#350f#190#13d6#13d6#a7d#
(eb,431) , (15e9,2d47) , #72#c5#1cc#2b5#ca#20d#28d#3f#163#341#3eb#
(5e57,e0ff) , (fb5,2645) , #7858#a18f#62#c10f#4f87#ae#7f4d#b7d5#c10f#12b9#
(17,1e1) , (15e9,2d47) , #11f#149#194#17d#be#56#1a6#17c#82#a5#118#
(1b7b,4999) , (6a1,3dd9) , #f37#3f83#139b#1808#5c0#32ab#276#276#17c3#1075#
(444d,6af7) , (fb5,2645) , #3162#4c69#df9#36e9#4316#e56#612#221e#36e9#5222#
(10c1,1abf) , (17b3,5b99) , #452#10ff#862#64#63b#d4e#86#64#12#12#4f7#
(5e7,27f5) , (15e9,2d47) , #1842#2573#1415#25c4#eee#8ca#2208#11f8#1bbd#fce#1b6#
(32f,1417) , (6a1,3dd9) , #325#127b#9f1#477#a05#bbd#53e#53e#c29#c39#
(43d,f3d) , (17b3,5b99) , #d01#9e#bd9#3b3#879#307#544#3b3#508#508#c5c#
(49,1235) , (6a1,3dd9) , #c6b#5aa#480#4c5#da4#253#a06#a06#ad9#d05#
(d33,c00b) , (6ed,877) , #77c6#4522#5a8b#6371#6f4e#2e4d#9791#9791#4ea9#
(2c23,30a1) , (6ed,877) , #180f#2af#e68#1032#1191#18a4#284c#284c#f46#
(919,c37) , (fb5,2645) , #164#a53#6d0#a8f#469#3c8#b2f#635#a8f#313#
(b51,168d) , (6a1,3dd9) , #48c#d69#585#426#1db#13a0#afc#afc#13c1#d#
(3c1,10ff) , (17b3,5b99) , #996#2dd#140#4bb#e16#56f#ef5#4bb#9cc#9cc#410#
(153,457) , (fb5,2645) , #d9#2c4#44b#1de#108#14c#1ac#167#1de#10f#
(79f,8b7) , (6ed,877) , #55b#79#1dc#7c0#2aa#1a9#449#449#3a5#
(3b3,71b) , (15e9,2d47) , #599#13b#90#54f#d1#5a8#3c8#1c3#683#607#3c6#
(1863,1ea9) , (15e9,2d47) , #c44#e16#10b9#17b8#1664#1881#1bd2#12be#17e9#1cb0#89d#
(65,1481) , (6a1,3dd9) , #561#dc9#86a#13a#d11#6bc#13bc#13bc#11ab#f3a#
(2a71,7eb5) , (fb5,2645) , #7328#4b84#64fd#6a07#74a#226d#f57#228e#6a07#e92#
(7d71,9d75) , (15e9,2d47) , #2775#6984#4f05#f92#71bb#9643#706c#6aa1#5f2#73b#33ec#
(4ed,9d7) , (fb5,2645) , #8aa#213#2a9#81d#7fe#57b#78#7a3#81d#5f6#
(7ea7,a07f) , (6ed,877) , #6a06#a89#6644#3ca1#9717#549d#3267#3267#57ff#
(8aaf,a25f) , (17b3,5b99) , #6381#26c6#2704#7c9f#3c57#1abd#60ed#7c9f#3f0e#3f0e#6a70#
(725,2bdb) , (15e9,2d47) , #13bd#138a#f19#2976#5d1#1217#279f#649#f0c#b01#11da#
(1d41,2591) , (6a1,3dd9) , #21e7#532#759#b84#176e#10ed#1411#1411#d8e#d9d#
(619f,d5cb) , (6ed,877) , #3470#3a18#5a05#84f6#4186#bbdf#b644#b644#adcf#
(bdd,9ac1) , (17b3,5b99) , #3f9f#586a#370#1fce#924d#5092#58b9#1fce#865a#865a#93a0#
(495b,54e5) , (6a1,3dd9) , #2f3e#4ae1#347#3ab3#570#31a9#17fa#17fa#2c0a#e19#
(55c9,81c5) , (6ed,877) , #2947#7efb#459a#2651#4b12#400b#3c84#3c84#5f7f#
(2b3,461) , (fb5,2645) , #451#3d0#1c3#257#10e#14f#219#275#257#281#
(a27,1601) , (15e9,2d47) , #12cb#38d#10b9#d7e#148f#1581#fa6#5c7#c87#a0a#10#
(c99,14ef) , (6a1,3dd9) , #1d7#14a0#a64#a20#1328#db7#f6a#f6a#e40#115f#
(b51f,de91) , (6a1,3dd9) , #8262#4978#7ad6#cf51#ddf9#d3a#3ed0#3ed0#5ed9#d7f5#
(24d,1f37) , (15e9,2d47) , #472#2a3#700#fe2#6b8#1f2d#10e0#1db9#1b82#1009#e12#
(e5,3dd) , (fb5,2645) , #b6#e2#30#6d#1da#109#2d9#ba#6d#a4#
(607,7d6f) , (fb5,2645) , #4f1a#1b#5daa#8cc#63fe#500b#2f56#1452#8cc#eae#
(45b,126d) , (6a1,3dd9) , #7af#70b#edd#1264#6ff#1132#e96#e96#3c3#8d4#
(c3b,1235) , (17b3,5b99) , #1bc#6e4#153#73#c12#2c0#dca#73#1f5#1f5#11a8#
(2ab1,7fe7) , (17b3,5b99) , #a5b#4908#5799#3371#dcd#5fc#1e87#3371#6025#6025#6106#
(ac7,40fd) , (fb5,2645) , #7ca#127c#2f1e#2cde#3a5a#35d1#20c8#b0f#2cde#2f3#
(9fd,1001) , (6ed,877) , #15b#4ab#8b2#464#ec4#729#5ed#5ed#4f#
(1553,81c5) , (fb5,2645) , #170b#6dc#3868#5613#1375#1750#4d21#70b4#5613#3ab4#
(1e35,42a7) , (17b3,5b99) , #2a12#39e3#561#191a#22a2#209#3138#191a#28aa#28aa#20c0#
(48d,1627) , (15e9,2d47) , #dc3#2d5#d4#84a#d51#41d#2fc#32a#73e#5b7#3f2#
(6fb,7ff) , (17b3,5b99) , #526#548#12d#152#558#58c#265#152#58e#58e#1aa#
(5777,7eb5) , (6ed,877) , #20ae#7d13#554e#6d52#4fe2#2463#50b0#50b0#6ed8#
(1907,7fe7) , (6a1,3dd9) , #21b2#4fec#65b3#4908#1997#655#5e55#5e55#4a7#209b#
(54ad,57d7) , (15e9,2d47) , #2f18#10#101d#4875#1e83#2160#112e#fbb#eaa#2c0f#11be#
(160b,2953) , (6a1,3dd9) , #c81#d0e#258b#a6#2196#1500#780#780#16f4#1fc7#
(5cb5,879d) , (6a1,3dd9) , #87a#6d4d#1f7a#34c8#3f08#2ada#1f9d#1f9d#66a#75c9#
(3b05,d795) , (6ed,877) , #b52#5abe#216f#8a29#b148#b93#6c5#6c5#cbd5#
(409,12e9) , (17b3,5b99) , #10c0#e0f#c14#b4b#bd8#31b#766#b4b#710#710#779#
(365,56f) , (6a1,3dd9) , #3a9#20#2da#13c#379#4ab#23f#23f#3c7#235#
(69b,10d5) , (17b3,5b99) , #869#b02#296#92e#1022#2ad#6e#92e#107e#107e#a5e#
(7c9,3e47) , (6a1,3dd9) , #ec6#1975#3683#116#728#3de2#1473#1473#ffd#1640#
(4a27,aeaf) , (6ed,877) , #879a#5897#48bf#1762#64b4#585f#1d22#1d22#3908#
(1b47,91cf) , (6ed,877) , #8b03#51da#73ed#6ba4#7af5#58d5#d9b#d9b#74b0#
(955,4ae9) , (6ed,877) , #42bc#1836#325c#49b5#30f2#3946#20e5#20e5#1479#
(11d5,1a4b) , (15e9,2d47) , #15ae#d04#48e#d43#e1b#53d#ba6#f5c#da9#970#19d9#
(7185,a3bd) , (17b3,5b99) , #99f1#4d6a#946f#3219#2552#2e53#17f7#3219#3c55#3c55#27aa#
(7a3,1409) , (6a1,3dd9) , #6d1#ec8#1196#1017#ff1#1379#69b#69b#afd#cf6#
(3231,461b) , (6ed,877) , #42ab#18f7#3f15#131f#3067#1f54#166d#166d#17b5#
(3581,7b41) , (6ed,877) , #2cca#1dda#2f92#2459#3049#5c8b#19ef#19ef#743f#
(7,53f) , (6ed,877) , #272#319#4fa#3e2#d1#d6#260#260#529#
(4509,7a4d) , (6ed,877) , #6732#244#51f4#1fd6#2f12#38e4#5585#5585#3acf#
(55d,c05) , (6ed,877) , #227#39b#83b#84f#29d#12f#5dc#5dc#4a0#
(617,2c7b) , (6a1,3dd9) , #1366#aed#2a57#2573#20f2#ab3#7aa#7aa#273e#1842#
(d51,1d5f) , (fb5,2645) , #96e#15b9#b55#439#160#1ac2#18c9#10be#439#fab#
(3fcd,452f) , (6ed,877) , #525#2992#2632#329b#33a#40d5#2d69#2d69#48b#
(6a7,f8b) , (6ed,877) , #1b3#169#edb#432#c2f#93d#230#230#e35#
(f8b,1ccd) , (fb5,2645) , #1231#11c2#d4e#1bd5#119a#1bc0#1a06#a7c#1bd5#1cad#
(c8b,104b) , (17b3,5b99) , #20e#897#9ee#611#d16#388#42#611#38#38#9e1#
(8f69,9fd1) , (6a1,3dd9) , #22ee#253f#4fb1#9ec4#54ba#87a9#4bf#4bf#16aa#1c61#
(6e77,c6a3) , (6a1,3dd9) , #9003#1d8d#426c#2867#9713#4253#6936#6936#860b#6850#
(11b9,22d5) , (15e9,2d47) , #f7a#1bf1#187d#858#daa#1a30#d7e#1afc#1cf7#2f6#10a3#
(303d,7a4d) , (6ed,877) , #3ab5#3f85#cfb#77e4#66de#5a09#29c4#29c4#256b#
(a1,a8d) , (fb5,2645) , #425#63b#46a#71c#92b#36#32#34e#71c#87e#
(187,2677) , (6ed,877) , #e91#9ed#11d7#146#48a#59c#5b9#5b9#2182#
(71cd,add7) , (6a1,3dd9) , #47d3#2f76#a28a#a90b#2a27#3579#7644#7644#dac#9f9#
(34a9,a661) , (17b3,5b99) , #4826#8085#1c79#9515#f6d#38f3#982a#9515#7b8c#7b8c#4885#
(2a1,c43) , (15e9,2d47) , #a92#31#514#a23#b7a#913#715#64#34#847#68b#
(5a35,cb0f) , (6a1,3dd9) , #61cb#c2ce#5f1#651a#3f9e#3512#2253#2253#429a#55f8#
(1d95,1f73) , (15e9,2d47) , #1a61#1ea6#612#12ee#1db3#1659#174c#179d#1371#1cee#da9#
(489b,858d) , (fb5,2645) , #5ce6#3bd#6e80#55c0#37a4#1e26#2264#736e#55c0#4439#
(31d3,3b2f) , (6a1,3dd9) , #b44#1e97#2b10#30fc#1115#27e8#1b5d#1b5d#171#2734#
(1d45,b51f) , (fb5,2645) , #720e#2190#3a12#8685#1358#a36c#7bdd#6ba8#8685#985f#
(1633,2249) , (6ed,877) , #7a0#175c#8c2#1b19#1fde#8c4#6e8#6e8#119d#
(4201,50cf) , (fb5,2645) , #2ba0#4ac2#292e#3c46#1584#1971#3d97#3b7e#3c46#10c0#
(47f,2f6b) , (6a1,3dd9) , #51e#1a54#753#384#2626#1378#c77#c77#2695#109a#
(a16f,c6a3) , (15e9,2d47) , #508c#c47e#4ff9#4684#2c23#6266#efc#c699#1f4f#2090#bf20#
(df,719) , (17b3,5b99) , #2aa#400#d5#a9#2f3#343#3c#a9#42c#42c#6d8#
(3605,454d) , (15e9,2d47) , #3985#1beb#1309#13b0#20fb#3c4d#190f#4088#3e4a#114e#3285#
(3c1f,3f71) , (17b3,5b99) , #2cfa#1950#2f79#1eb3#2029#3f45#1ec#1eb3#3caa#3caa#2cf9#
(53ab,5fcb) , (15e9,2d47) , #1aaa#10a5#5289#5860#5ef#266c#228a#21dc#319#5736#5b04#
(af3,2b01) , (17b3,5b99) , #135c#7bf#67a#2a02#27fc#246c#ee1#2a02#2a7c#2a7c#29fe#
(11b,887) , (15e9,2d47) , #6f4#61b#ea#402#1ad#884#6a#470#610#488#85b#
(3a3,53b) , (6ed,877) , #515#33e#52b#322#b1#38#4d6#4d6#3da#
(c05,29e1) , (6ed,877) , #1dc8#173e#158b#1c5a#158a#b9d#24b1#24b1#208#
(4cf,23db) , (6ed,877) , #9ed#b25#e6c#1033#1784#1c59#27f#27f#108#
(2f93,3709) , (fb5,2645) , #1e57#ca8#d35#2988#2ea8#3080#92c#32c9#2988#21b8#
(34d,1751) , (fb5,2645) , #11c3#112e#386#fa2#1101#14d1#c2a#a81#fa2#10ae#
(2e3,9607) , (15e9,2d47) , #28f8#5d7#2f42#925b#7686#2906#7b23#7ba2#32af#6d41#658d#
(71,40fd) , (6a1,3dd9) , #947#3323#3c7#2671#93d#10af#2d9f#2d9f#37bb#3cfe#
(10d,13f) , (6a1,3dd9) , #d9#fc#10d#35#f2#81#7a#7a#1c#80#
(1bf5,44f5) , (17b3,5b99) , #1fdb#4242#14e2#299e#137a#17c9#11cf#299e#3a68#3a68#34dc#
(5eb7,aeaf) , (fb5,2645) , #7f1b#10b4#3435#46#88d7#4650#2101#a780#46#3e20#
(1c67,5831) , (6a1,3dd9) , #1b76#b3#5066#4ff0#27e4#1128#16c7#16c7#311#4431#
(251,12f5) , (17b3,5b99) , #954#b88#393#7ec#79a#b74#ef4#7ec#e4#e4#49e#
(251,46d) , (6ed,877) , #cc#246#238#319#2c0#366#40a#40a#120#
(1333,1483) , (15e9,2d47) , #10c2#10f7#dfd#1e2#ff6#c9d#854#510#c78#4a7#125#
(6193,9563) , (6ed,877) , #4ae9#566d#23e6#5ce3#77da#55cd#9517#9517#943d#
(2831,89bf) , (15e9,2d47) , #8fc#74f4#5c3e#7e0d#3b67#69cb#1dc0#4377#5b4b#596f#5c40#
(15c9,29ad) , (fb5,2645) , #a01#1c99#1810#593#2445#914#287c#bfe#593#4e4#
(a09,10d5) , (17b3,5b99) , #5a6#675#65d#70b#32f#88f#5db#70b#b00#b00#1a5#
(2c0f,752f) , (15e9,2d47) , #2e61#ae0#45f1#2999#2404#765#6ac2#4908#1b0c#1b9a#1d11#
(de1,22df) , (6a1,3dd9) , #1aa4#17af#52e#19b6#1cdd#1b06#1f41#1f41#286#141b#
(79d3,81cb) , (17b3,5b99) , #3a36#450d#245d#14b2#2045#330c#3dac#14b2#2b50#2b50#75dd#
(2bf,431) , (6ed,877) , #253#14#26b#1d6#257#15f#41f#41f#3eb#
(11,2933) , (17b3,5b99) , #95c#26cf#159c#ca4#10b1#9ec#986#ca4#22b0#22b0#1e00#
(1457,2591) , (6ed,877) , #21a1#12d6#218c#1227#2f8#29b#1a35#1a35#4c9#
(1093,1e65) , (17b3,5b99) , #eb1#f2c#820#1b25#1888#263#bb5#1b25#910#910#378#
(eb,583) , (6a1,3dd9) , #33c#208#44b#e6#11e#cc#9#9#281#256#
(d91,23cf) , (17b3,5b99) , #2fd#f70#1bae#8f6#2d7#796#30f#8f6#1ff8#1ff8#530#
(274f,5011) , (17b3,5b99) , #3c56#463e#1ea4#1038#18fd#1432#430b#1038#1f9b#1f9b#4c8f#
(15f7,5b55) , (6a1,3dd9) , #3c9b#148b#490f#1012#2216#2463#29c2#29c2#5585#2b48#
(2b9,a07) , (6a1,3dd9) , #a01#9af#9c8#73b#469#385#719#719#4d3#4f4#
(4b93,af81) , (6a1,3dd9) , #62ac#4721#3ca6#1408#7892#950c#13cf#13cf#8e72#a8fa#
(5b,d1) , (15e9,2d47) , #28#31#35#65#39#2c#32#64#34#37#29#
(7db,887) , (fb5,2645) , #3a1#696#4ef#c5#6a3#710#34#67f#c5#16b#
(10db,131b) , (fb5,2645) , #ea5#2b8#ffe#2a#c1c#c69#ebb#ec3#2a#fd3#
(8573,c6a3) , (15e9,2d47) , #995a#75f5#76ee#c191#4ba5#5269#6791#2710#5c88#b814#347b#
(84b,1e7f) , (fb5,2645) , #1680#b4a#d38#19c1#35#a8#175d#c98#19c1#80f#
(cf7,40bb) , (6ed,877) , #253#17b1#1373#17d9#3760#1b2c#3ac0#3ac0#9ae#
(ac9,2b01) , (fb5,2645) , #1241#15b4#ad1#1083#1b65#251d#2ae#1d29#1083#29#
(1a4b,2f9f) , (6a1,3dd9) , #23c4#23bc#68c#243a#b63#52c#706#706#16f9#1b99#
(3889,7e83) , (15e9,2d47) , #4e0b#1930#3e6a#6843#dd2#62ab#4e2c#7d22#3fd4#24d5#7450#
(a7f,1f93) , (6a1,3dd9) , #1ccb#1ed1#d7c#7af#fe2#1251#8b5#8b5#1ee#1228#
(13,215) , (6ed,877) , #28#3f#c0#8b#1b5#1e#78#78#1ec#
(42df,4e23) , (17b3,5b99) , #4af#3b0#18bc#123e#80c#533#204f#123e#3279#3279#457b#
(767,967) , (15e9,2d47) , #85f#11e#771#4b7#5e3#646#84f#138#62e#385#47c#
(509,9b3) , (6ed,877) , #90#7cb#233#628#5c2#4dd#238#238#6ee#
(6cd,a51) , (15e9,2d47) , #6bc#92c#20e#9fb#733#3ac#5fc#211#6b1#64#346#
(2b75,471b) , (6a1,3dd9) , #341a#f8a#b06#2683#46e#1215#1916#1916#45a0#215f#
(1583,1bbb) , (6ed,877) , #323#981#6d#2b4#9e7#c02#bd4#bd4#13cb#
(41cf,858d) , (fb5,2645) , #3686#486#387c#22aa#4561#1a73#4ca#3697#22aa#4bfc#
(80f,1015) , (6a1,3dd9) , #60f#490#7e6#e0d#840#30c#c1c#c1c#da2#ba#
(41f3,7a4d) , (17b3,5b99) , #410e#6044#5dd0#546a#4b88#3333#1a53#546a#1054#1054#3d81#
(41bd,459d) , (fb5,2645) , #4f1#2271#32e7#3fe0#2a0#d7b#418d#28ad#3fe0#f23#
(5b3,1555) , (fb5,2645) , #5f9#1137#87a#bbf#1123#10a8#138c#138d#bbf#7c5#
(71b,2579) , (6a1,3dd9) , #144e#10a#34a#5d9#2435#1f7#fb3#fb3#2537#8c8#
(9c7,caf7) , (6ed,877) , #b637#fc9#aa75#59e4#b201#4934#6a9c#6a9c#124f#
(121f,aa65) , (fb5,2645) , #7f11#6b6c#3e7d#9b7#9269#a568#9f77#48a7#9b7#a0cc#
(b,1055) , (17b3,5b99) , #3b2#3a4#d18#479#992#e0e#227#479#56c#56c#2fd#
(1945,8e97) , (6ed,877) , #21f3#19c3#8937#3968#7b11#aa1#4bbd#4bbd#6b96#
(9245,aca5) , (17b3,5b99) , #6532#c4f#3dde#6db#5bdc#4fd9#798e#6db#6aec#6aec#8fa5#
(9a7,2699) , (6ed,877) , #1761#19cf#1e75#25de#bbf#10b4#18ad#18ad#a40#
(16bb,1ee9) , (fb5,2645) , #7af#c2a#1e2e#1ab#3ca#18a1#1630#377#1ab#1643#
(8b5,967) , (6a1,3dd9) , #3e8#445#2fa#792#506#1c0#8bf#8bf#226#26d#
(e5,22df) , (17b3,5b99) , #1471#1afd#86#297#42d#add#14f8#297#1cbf#1cbf#d54#
(5c9,c43) , (15e9,2d47) , #20d#b65#543#412#9d6#332#2aa#8a9#22a#b88#768#
(17cf,3073) , (6ed,877) , #20b#200d#1982#596#17bc#18c8#ae4#ae4#a40#
(14b,9b3) , (fb5,2645) , #3c3#383#6fb#703#466#188#324#22f#703#3da#
(43,439) , (6ed,877) , #125#372#3a1#32d#5a#32f#373#373#199#
(229f,4793) , (17b3,5b99) , #9d#4488#1441#1ae1#3e20#427f#1adb#1ae1#3d18#3d18#2234#
(15b,385) , (17b3,5b99) , #1d#207#24f#224#cc#1ea#d4#224#1e8#1e8#1bd#
(1c33,236f) , (15e9,2d47) , #811#fa4#20df#b36#be8#5b6#405#2#2193#5f8#1ea7#
(4b43,7397) , (17b3,5b99) , #3b0e#3c10#383c#59ed#6a90#683f#1dfe#59ed#3327#3327#1ea5#
(6725,96b3) , (6ed,877) , #8441#5c71#666d#232#16d0#7225#186d#186d#4159#
(365,1219) , (15e9,2d47) , #8f7#cfe#de4#1027#3c1#11ed#d7d#559#1021#1115#11f0#
(2353,8e27) , (6a1,3dd9) , #c24#6714#7f8d#530d#7811#3a50#4cd#4cd#9bf#31a8#
(20a7,a1e9) , (6a1,3dd9) , #42f8#8873#54e2#46e5#629#8df5#167e#167e#5970#7087#
(353b,485f) , (6a1,3dd9) , #648#1cb4#1b48#3670#3833#883#3b7b#3b7b#451f#3079#
(1591,1cf1) , (fb5,2645) , #47#85#3c6#54#1310#11ff#d69#9c5#54#1424#
(10b7,2723) , (17b3,5b99) , #632#2046#a0a#187c#de6#26f9#f61#187c#21d4#21d4#7ca#
(355,a03) , (15e9,2d47) , #3fa#80c#4ea#868#335#3e9#1cb#2ed#724#386#367#
(1b83,2a0b) , (15e9,2d47) , #b6f#1ef4#24c8#d89#435#1d81#d75#25e2#275e#22b6#68c#
(14b9,1fc9) , (6ed,877) , #28#36#65#64#2c#38#37#37#29#
(2d3d,34c7) , (fb5,2645) , #e76#2066#1810#2b2d#16c5#20a5#2e11#2612#2b2d#855#
(139,114d) , (15e9,2d47) , #ed2#2e1#d5c#579#23c#ec9#ccb#313#da9#188#27d#
(2b8b,81c5) , (6a1,3dd9) , #31be#7b27#61e7#79e5#2eb8#48e8#3563#3563#2966#27b7#
(1a2f,6f01) , (15e9,2d47) , #45c#61c3#2808#3a71#2ca7#278c#6d95#4120#4703#5cd#30b4#
(a0f,9293) , (17b3,5b99) , #2b16#8c7#5953#4936#7e89#c9#8cd9#4936#5090#5090#43ea#
(457,4db) , (17b3,5b99) , #a1#10#39c#f1#2b1#247#4a2#f1#3eb#3eb#320#
(3037,3a55) , (15e9,2d47) , #1771#35b5#33be#39f0#1a03#13a1#36c8#2400#80d#b29#379e#
(1633,1fc9) , (6ed,877) , #1e70#1576#14d3#320#795#38#eb8#eb8#101a#
(595,847) , (17b3,5b99) , #f8#da#676#3bc#5a#603#5a4#3bc#17e#17e#d2#
(ac3,e1b) , (17b3,5b99) , #46e#1c7#22a#a65#b01#9c5#b1c#a65#812#812#c5b#
(1e67,3937) , (6ed,877) , #4f2#2c6d#25db#1388#17dc#1f38#2fd1#2fd1#891#
